Candidate Name,Email,Department Code,Clarity of questions,Usability of Test Interface,Usability of Code Editor,Fairness of skill assessment,Extra Comment
Noah,Noah1977@company.in,A,4.0,4.0,4.0,4.0,
Hardy,Hardy1978@yahoo.com,C,5.0,5.0,5.0,,
Taft,Taft1992@gmail.com,H,3.0,5.0,5.0,4.0,
Moody,Moody1999@gmail.com,E,5.0,5.0,5.0,5.0,
Duwayne,Duwayne1980@yahoo.com,B,1.0,1.0,1.0,1.0,As there was no custom input testing.. wasted time in first problem itself
Colon,Colon1988@company.com,G,4.0,4.0,4.0,4.0,
Maryam,Maryam1981@gmail.com,G,3.0,3.0,3.0,3.0,
Joselyn,Joselyn1985@hotmail.com,D,4.0,4.0,4.0,4.0,
Neva,Neva1987@,B,4.0,1.0,1.0,1.0,u can reuse code. please auto-fill the code for input values
Araceli,Araceli1980@yahoo.com,A,1.0,1.0,1.0,1.0,
Heriberto,Heriberto1997@company.com,E,5.0,5.0,5.0,5.0,
Madelynn,Madelynn1990@company.com,B,5.0,5.0,5.0,5.0,
Loretto,Loretto1997@hotmail.com,B,4.0,4.0,4.0,4.0,
Eleonora,Eleonora1991@company.com,F,5.0,5.0,5.0,5.0,
Cosmo,Cosmo1979@yahoo.com,B,,,,5.0,
Kymani,Kymani1989@gmail.com,G,3.0,4.0,3.0,4.0,
Senora,Senora1984@company.com,C,5.0,5.0,5.0,5.0,
Wade,Wade1992@gmail.com,A,5.0,3.0,3.0,5.0,
Christopher,Christopher1979@hotmail.com,H,3.0,4.0,4.0,4.0,
Margarite,Margarite1972@hotmail.com,D,1.0,1.0,1.0,1.0,"Very poor problem statements, Constraints very not given for the input. _x005F_x000D_
Output format was not clearly described._x005F_x000D_
Even custom test were not available, there was no way to debug the code."
Aiden,Aiden1980@hotmail.com,A,4.0,4.0,5.0,5.0,
Seamus,Seamus1991@company.com,C,5.0,5.0,5.0,5.0,
Stanislaus,Stanislaus1980@hotmail.com,E,3.0,3.0,3.0,3.0,ok
Patrick,Patrick1994@gmail.com,G,2.0,3.0,2.0,1.0,
Carol,Carol1998@hotmail.com,E,2.0,4.0,5.0,4.0,
Johny,Johny1988@company.com,B,5.0,5.0,5.0,5.0,
Asia,Asia1978@,H,1.0,5.0,5.0,4.0,
Delilah,Delilah1995@hotmail.com,E,2.0,5.0,5.0,4.0,There should be constraints and also it's not mentioned what should be returned if specific criteria doesn't met.
Gilda,Gilda1981@,H,4.0,4.0,4.0,4.0,
Venice,Venice1994@,G,1.0,3.0,4.0,4.0,
Glen,Glen1976@company.com,F,2.0,4.0,4.0,3.0,
William,William1984@company.com,A,1.0,5.0,5.0,1.0,
Lesia,Lesia1985@yahoo.com,G,4.0,5.0,4.0,4.0,
Marti,Marti1971@yahoo.com,H,3.0,3.0,3.0,3.0,
Marybelle,Marybelle1986@hotmail.com,E,3.0,5.0,5.0,4.0,
Kimberley,Kimberley1986@gmail.com,C,3.0,1.0,1.0,3.0,
Arizona,Arizona1978@gmail.com,E,1.0,5.0,4.0,4.0,
Herlinda,Herlinda1993@hotmail.com,B,4.0,4.0,4.0,4.0,
Asha,Asha1978@hotmail.com,F,5.0,5.0,5.0,5.0,
Tilman,Tilman1996@yahoo.com,B,4.0,4.0,4.0,3.0,https://raviresume.herokuapp.com/   my portfolio website
Harrell,Harrell1972@yahoo.com,C,4.0,4.0,4.0,4.0,
Cordero,Cordero1997@company.in,B,3.0,2.0,4.0,4.0,
Precious,Precious1972@yahoo.com,D,5.0,5.0,5.0,5.0,
Michelle,Michelle1993@,B,5.0,,3.0,,
Aliana,Aliana1990@yahoo.com,A,3.0,,,,
Jeb,Jeb1990@,E,1.0,,,,
Wirt,Wirt1973@company.in,G,5.0,3.0,3.0,5.0,
Dejah,Dejah1980@company.com,C,5.0,5.0,5.0,5.0,
Cindy,Cindy1993@,C,3.0,4.0,3.0,4.0,
Keith,Keith1997@yahoo.com,C,4.0,4.0,4.0,4.0,
Abel,Abel1982@company.com,D,3.0,2.0,3.0,3.0,
Perry,Perry1978@,E,2.0,4.0,4.0,5.0,
Emmer,Emmer1997@hotmail.com,D,4.0,4.0,5.0,3.0,
Jaylynn,Jaylynn1988@yahoo.com,H,4.0,4.0,4.0,4.0,
Lacie,Lacie1989@hotmail.com,F,5.0,5.0,5.0,5.0,
Tishie,Tishie1993@company.com,E,4.0,4.0,4.0,4.0,
Carsen,Carsen1977@,C,3.0,3.0,3.0,3.0,
Lady,Lady1983@company.in,E,5.0,5.0,5.0,5.0,
Mariyah,Mariyah1976@hotmail.com,B,3.0,3.0,3.0,4.0,
Edith,Edith1974@company.in,H,1.0,4.0,4.0,2.0,
Serena,Serena1987@gmail.com,H,2.0,5.0,4.0,4.0,
Marchello,Marchello1975@company.com,E,4.0,5.0,5.0,5.0,
Carley,Carley1976@company.com,A,3.0,3.0,4.0,5.0,
Moshe,Moshe1994@gmail.com,D,2.0,4.0,4.0,4.0,
Nereida,Nereida1995@yahoo.com,G,4.0,3.0,3.0,2.0,
Diallo,Diallo1986@company.com,G,5.0,3.0,2.0,5.0,"I have a suggestion to give._x005F_x000D_
The code editor is not user-friendly, that's why tried to write code in my personal editor but this interface doesn't allow copying code from personal editor.. it should be allowed and you can do analysis if the code is copied for online sources._x005F_x000D_
for those who copy code from the internet will obviously have to face next round and they will get out of the competition in that round"
Braydon,Braydon1987@hotmail.com,D,5.0,5.0,5.0,5.0,
Addisyn,Addisyn1974@yahoo.com,A,4.0,4.0,4.0,4.0,
Makaila,Makaila1982@,C,4.0,5.0,5.0,5.0,
Leonard,Leonard1985@company.com,C,5.0,5.0,2.0,4.0,
Cathie,Cathie1998@yahoo.com,B,2.0,1.0,3.0,4.0,
Emilia,Emilia1984@,G,5.0,1.0,1.0,1.0,the copy paste inside the editor was disabled due the code was too slow. the copy paste between different languages should be allowed.
Schley,Schley1992@company.in,E,5.0,5.0,5.0,5.0,
Lulah,Lulah1986@gmail.com,H,3.0,5.0,2.0,3.0,"Good questions._x005F_x000D_
All constraints were not provided in 2nd question._x005F_x000D_
custom input option was disabled."
Cressie,Cressie1976@company.in,F,1.0,1.0,1.0,1.0,
Brandyn,Brandyn1975@,C,3.0,3.0,3.0,3.0,
Killian,Killian1975@hotmail.com,G,1.0,4.0,4.0,4.0,
Rigoberto,Rigoberto1970@company.com,E,5.0,5.0,5.0,5.0,
Hellen,Hellen1984@gmail.com,F,1.0,5.0,5.0,5.0,
Sofia,Sofia1993@hotmail.com,E,2.0,5.0,5.0,4.0,"The output requirement was not cleared in the questions._x005F_x000D_
In the third question, the number of test cases passed kept changing when I just change the format of the output._x005F_x000D_
_x005F_x000D_
Please look into the issue._x005F_x000D_
Thank you"
Leitha,Leitha1978@hotmail.com,C,3.0,3.0,3.0,5.0,
Carl,Carl1978@gmail.com,C,4.0,4.0,4.0,2.0,
Sky,Sky1986@company.com,G,4.0,5.0,4.0,5.0,
Ardelle,Ardelle1997@hotmail.com,B,3.0,3.0,3.0,3.0,
Jayne,Jayne1977@hotmail.com,F,1.0,4.0,4.0,3.0,
Maya,Maya1982@company.com,E,4.0,4.0,4.0,5.0,
Citlali,Citlali1981@company.in,B,5.0,5.0,5.0,5.0,
Spenser,Spenser1991@hotmail.com,H,3.0,3.0,3.0,3.0,
Shade,Shade1994@yahoo.com,G,5.0,5.0,5.0,5.0,
Chaka,Chaka1974@,A,5.0,5.0,5.0,5.0,
Kegan,Kegan1986@hotmail.com,F,5.0,5.0,4.0,5.0,
Rhona,Rhona1977@company.in,G,4.0,5.0,5.0,5.0,
Hakim,Hakim1999@yahoo.com,H,4.0,4.0,4.0,4.0,
Hiram,Hiram1985@company.in,F,5.0,5.0,5.0,5.0,
Tamya,Tamya1972@company.in,H,5.0,2.0,2.0,4.0,need to improve editor
Drury,Drury1980@company.com,H,1.0,1.0,1.0,3.0,
Latonya,Latonya1988@company.com,C,1.0,5.0,5.0,3.0,
Gaylon,Gaylon1985@hotmail.com,G,3.0,5.0,5.0,5.0,
Estie,Estie1983@company.in,C,2.0,2.0,1.0,1.0,
Sedrick,Sedrick1987@company.in,C,4.0,,,,
Celie,Celie1983@company.com,E,5.0,5.0,5.0,5.0,
Jaida,Jaida1987@yahoo.com,G,3.0,3.0,4.0,3.0,
Esker,Esker1991@yahoo.com,C,1.0,5.0,4.0,5.0,
Hildegarde,Hildegarde1977@company.com,D,5.0,4.0,4.0,4.0,
Elroy,Elroy1979@company.com,A,4.0,4.0,4.0,4.0,
Karel,Karel1982@gmail.com,E,3.0,4.0,3.0,3.0,
Wende,Wende1994@company.com,G,1.0,2.0,2.0,2.0,Just the one sample case doesn't help and the code should be explained a little bit more. Here we are expected to understand the question from the input pattern and sample input rather than the question. So that takes up a lot of time
Tea,Tea1999@yahoo.com,G,1.0,1.0,2.0,4.0,clarity of problem statement is bad
Arkie,Arkie1981@gmail.com,C,4.0,4.0,4.0,4.0,
Landyn,Landyn1970@company.com,G,1.0,1.0,1.0,1.0,
Miesha,Miesha1988@company.com,D,5.0,5.0,5.0,5.0,
Jamarion,Jamarion1972@gmail.com,E,1.0,1.0,1.0,1.0,
Jaylin,Jaylin1972@company.in,D,3.0,4.0,4.0,5.0,
Sam,Sam1990@hotmail.com,B,4.0,4.0,5.0,5.0,
Halley,Halley1997@company.in,A,2.0,4.0,5.0,5.0,
Odis,Odis1991@company.com,B,2.0,3.0,3.0,4.0,
Alcee,Alcee1993@,F,3.0,,2.0,3.0,no comments
Budd,Budd1977@company.com,A,4.0,3.0,4.0,5.0,
Lynda,Lynda1999@,H,1.0,1.0,1.0,1.0,
Jermaine,Jermaine1973@,G,3.0,4.0,5.0,4.0,
Lily,Lily1998@yahoo.com,B,5.0,5.0,5.0,5.0,"Nice interface, happy to participate."
Amey,Amey1998@hotmail.com,F,3.0,4.0,4.0,4.0,
Tai,Tai1977@gmail.com,G,5.0,4.0,4.0,4.0,
Alexandr,Alexandr1979@hotmail.com,F,5.0,5.0,5.0,5.0,
Trace,Trace1976@company.com,H,5.0,5.0,5.0,5.0,Awesome experience .
Felton,Felton1991@yahoo.com,B,1.0,1.0,1.0,,
Gregory,Gregory1989@yahoo.com,B,4.0,1.0,1.0,4.0,
Louella,Louella1991@gmail.com,F,2.0,4.0,3.0,3.0,
Jakob,Jakob1985@hotmail.com,D,5.0,5.0,5.0,5.0,
Arnulfo,Arnulfo1975@company.com,B,3.0,5.0,5.0,4.0,
Kyla,Kyla1996@,H,,,5.0,5.0,
Sherrill,Sherrill1993@gmail.com,C,1.0,2.0,2.0,1.0,
Carlos,Carlos1976@hotmail.com,B,1.0,1.0,1.0,1.0,
Terrill,Terrill1978@gmail.com,G,2.0,5.0,5.0,3.0,
Adrien,Adrien1982@yahoo.com,B,3.0,5.0,5.0,4.0,
Mustafa,Mustafa1973@gmail.com,A,,,,,Thank you for inform you
Tanner,Tanner1985@hotmail.com,D,1.0,1.0,1.0,1.0,
Ester,Ester1987@yahoo.com,B,5.0,5.0,5.0,,
Pollie,Pollie1993@,H,2.0,5.0,5.0,4.0,
Gillie,Gillie1978@company.in,B,5.0,5.0,5.0,4.0,
Verlie,Verlie1987@gmail.com,F,3.0,3.0,2.0,3.0,
Nelson,Nelson1988@yahoo.com,D,5.0,5.0,2.0,1.0,
Augustina,Augustina1972@gmail.com,F,3.0,3.0,4.0,3.0,
Selina,Selina1990@yahoo.com,F,5.0,5.0,4.0,5.0,
Colvin,Colvin1998@company.com,E,5.0,5.0,5.0,5.0,
Olena,Olena1982@company.com,A,1.0,3.0,5.0,2.0,
Dena,Dena1985@yahoo.com,E,1.0,1.0,1.0,,
Elby,Elby1974@hotmail.com,H,5.0,5.0,5.0,5.0,
June,June1982@company.com,C,4.0,,,,
Chadwick,Chadwick1981@,C,3.0,4.0,4.0,5.0,
Butler,Butler1973@,A,4.0,4.0,4.0,,
Khadijah,Khadijah1988@company.in,C,5.0,5.0,4.0,5.0,
Amalie,Amalie1975@hotmail.com,H,5.0,5.0,5.0,5.0,
Merlene,Merlene1991@company.in,B,4.0,4.0,4.0,1.0,
Brianna,Brianna1993@company.com,H,,,,,"In the last question ""A"" and ""B"" were mentioned in opposite roles .. as compared to the input syntax given"
Vanessa,Vanessa1995@gmail.com,C,2.0,1.0,1.0,2.0,
Erick,Erick1981@gmail.com,A,5.0,5.0,5.0,,
Mylee,Mylee1988@yahoo.com,D,5.0,5.0,5.0,5.0,
Anderson,Anderson1973@,B,2.0,5.0,5.0,3.0,
Stuart,Stuart1992@hotmail.com,G,5.0,5.0,5.0,5.0,
Harriett,Harriett1996@gmail.com,H,1.0,1.0,1.0,1.0,
Jayvon,Jayvon1988@gmail.com,B,3.0,2.0,1.0,3.0,
Dylon,Dylon1984@,G,5.0,5.0,5.0,5.0,
Faustino,Faustino1975@hotmail.com,G,4.0,5.0,5.0,5.0,
Jeanmarie,Jeanmarie1990@company.com,F,4.0,4.0,4.0,4.0,
Danyel,Danyel1996@company.in,H,5.0,5.0,5.0,5.0,
Caroline,Caroline1999@,G,1.0,2.0,3.0,1.0,
Clementine,Clementine1994@company.com,A,5.0,3.0,3.0,3.0,
Dedra,Dedra1972@hotmail.com,F,3.0,3.0,3.0,3.0,
Ancil,Ancil1983@company.com,G,1.0,1.0,3.0,3.0,Need to clarify qstns properly and give 2 or 3 sample IO beach.
Early,Early1982@yahoo.com,G,2.0,4.0,4.0,4.0,questions should be more clear
Rashaan,Rashaan1970@,A,3.0,3.0,3.0,3.0,
Lakisha,Lakisha1996@company.com,H,4.0,4.0,4.0,4.0,
Colton,Colton1974@gmail.com,F,4.0,4.0,4.0,4.0,
Amira,Amira1974@hotmail.com,D,4.0,4.0,5.0,4.0,
Ambrose,Ambrose1978@gmail.com,G,1.0,5.0,5.0,3.0,
Vernita,Vernita1980@company.in,D,1.0,1.0,1.0,1.0,
Lavinia,Lavinia1970@gmail.com,F,3.0,4.0,4.0,4.0,
Payton,Payton1995@gmail.com,H,5.0,5.0,5.0,5.0,
Everet,Everet1974@company.in,D,5.0,3.0,3.0,5.0,
Dawson,Dawson1986@,A,2.0,5.0,5.0,1.0,
Noma,Noma1973@company.com,F,1.0,4.0,4.0,3.0,
Colleen,Colleen1981@yahoo.com,G,3.0,3.0,2.0,3.0,"Questions were clear, but test cases were not clear, you wouldn't be able to predict edge cases in some question. It should give proper range of input so that we could have clarity of the range of values to be used."
Orrin,Orrin1992@gmail.com,A,5.0,5.0,5.0,5.0,
Kenley,Kenley1999@gmail.com,B,5.0,5.0,5.0,5.0,
Lenon,Lenon1991@company.com,A,5.0,5.0,5.0,5.0,
Hobert,Hobert1972@,A,5.0,2.0,4.0,4.0,"Copy should be allowed within the test from one question to another as the inputs were same, and taking input from console involves a lot of coding in few languages."
Marlene,Marlene1974@hotmail.com,C,5.0,4.0,3.0,5.0,copying from the editor of one question to another should be allowed
Mareli,Mareli1970@yahoo.com,C,4.0,5.0,5.0,4.0,"the compiler should allow copy-paste within different question, lot of rewriting"
Nick,Nick1987@company.in,F,4.0,4.0,3.0,3.0,no comments
Caprice,Caprice1990@hotmail.com,G,2.0,3.0,3.0,5.0,
Ezra,Ezra1983@yahoo.com,C,4.0,3.0,3.0,2.0,
Cleve,Cleve1998@company.com,C,1.0,1.0,1.0,4.0,poorly written test cases and worst test interface.
Landan,Landan1987@hotmail.com,A,4.0,4.0,4.0,4.0,
Kami,Kami1972@gmail.com,E,1.0,1.0,5.0,3.0,"For similar question ,editor should copy code from previous question as boiler plate code. As copy paste was not allowed, i wrote same code to take input and process it 3 times. it was frustrating._x005F_x000D_
Last question was not clear at all."
Nery,Nery1983@company.com,C,2.0,1.0,5.0,4.0,"In Third question of the contest, it is not specified in which order numbers should appear in the result and also if not specified then any sequence should be acceptable as long as it contains same numbers as the expected result. Great questions but not clarified."
Gretta,Gretta1971@gmail.com,F,5.0,5.0,5.0,5.0,
Scotty,Scotty1973@hotmail.com,G,2.0,4.0,4.0,4.0,
Tre,Tre1971@yahoo.com,F,5.0,4.0,5.0,5.0,
Mikaila,Mikaila1990@,B,1.0,1.0,1.0,1.0,
Berry,Berry1971@company.com,E,2.0,3.0,3.0,5.0,
Emmie,Emmie1995@company.com,A,5.0,2.0,2.0,4.0,
Rosella,Rosella1977@gmail.com,H,5.0,3.0,3.0,5.0,
Yessenia,Yessenia1986@hotmail.com,D,4.0,4.0,4.0,4.0,
Elie,Elie1981@gmail.com,A,4.0,5.0,5.0,5.0,
Ouida,Ouida1983@company.com,F,5.0,5.0,5.0,5.0,
Lakendra,Lakendra1984@hotmail.com,G,5.0,1.0,1.0,,
Barnie,Barnie1989@company.com,A,3.0,3.0,3.0,3.0,
Kanye,Kanye1988@,F,4.0,3.0,3.0,4.0,
Arland,Arland1983@yahoo.com,B,1.0,1.0,1.0,1.0,kk
Everette,Everette1983@company.in,A,5.0,5.0,5.0,5.0,
Sara,Sara1974@hotmail.com,G,3.0,1.0,1.0,1.0,
Jayne,Jayne1976@yahoo.com,F,4.0,4.0,4.0,4.0,
Edmund,Edmund1992@yahoo.com,E,5.0,5.0,5.0,5.0,
Tayshaun,Tayshaun1995@company.com,H,,,3.0,,
Zavier,Zavier1970@company.com,H,5.0,5.0,4.0,4.0,
Aniya,Aniya1975@hotmail.com,H,5.0,5.0,5.0,5.0,
Gary,Gary1970@gmail.com,D,5.0,5.0,5.0,5.0,
Omarion,Omarion1991@company.in,A,3.0,5.0,5.0,3.0,
Magan,Magan1982@,B,4.0,3.0,5.0,5.0,Good
Orlin,Orlin1998@company.in,C,5.0,5.0,5.0,5.0,
Burnice,Burnice1991@gmail.com,A,1.0,4.0,4.0,2.0,
Robyn,Robyn1971@,F,3.0,4.0,3.0,4.0,
Sherrie,Sherrie1991@,F,5.0,5.0,5.0,5.0,
Marquis,Marquis1979@company.com,B,1.0,1.0,1.0,1.0,"If the explanation of the question would be better, it is better for us to solve questions_x005F_x000D_
"
Genie,Genie1989@hotmail.com,C,4.0,4.0,4.0,4.0,
Chase,Chase1996@,A,2.0,2.0,4.0,3.0,
Dax,Dax1981@yahoo.com,G,1.0,1.0,1.0,1.0,
Sim,Sim1983@company.in,E,3.0,3.0,3.0,3.0,
Ole,Ole1988@gmail.com,E,5.0,5.0,5.0,5.0,
Daniella,Daniella1971@gmail.com,G,4.0,4.0,4.0,4.0,
Keshaun,Keshaun1982@company.com,F,5.0,5.0,5.0,5.0,
Venie,Venie1986@,E,4.0,4.0,4.0,4.0,
Ilah,Ilah1973@yahoo.com,B,3.0,4.0,3.0,4.0,
Chaz,Chaz1977@yahoo.com,E,3.0,2.0,4.0,4.0,
Aracely,Aracely1984@hotmail.com,D,5.0,5.0,5.0,5.0,Good experience
Gabrielle,Gabrielle1972@company.in,A,5.0,5.0,5.0,5.0,
Henery,Henery1996@hotmail.com,G,5.0,5.0,5.0,5.0,"at least the input for failed test cases can be show, this will help in debugging "
Enid,Enid1976@hotmail.com,B,5.0,5.0,5.0,5.0,
Adalberto,Adalberto1988@,H,3.0,3.0,3.0,3.0,
Marley,Marley1987@hotmail.com,D,4.0,5.0,5.0,4.0,
Karolyn,Karolyn1998@hotmail.com,G,3.0,4.0,3.0,4.0,
Damon,Damon1981@gmail.com,B,4.0,5.0,5.0,5.0,
Keven,Keven1981@gmail.com,D,4.0,4.0,4.0,4.0,
Alpheus,Alpheus1974@yahoo.com,H,5.0,5.0,5.0,5.0,
Sharita,Sharita1994@gmail.com,B,5.0,5.0,5.0,5.0,
Haden,Haden1989@yahoo.com,E,5.0,5.0,5.0,5.0,
Felton,Felton1989@gmail.com,F,1.0,,,,
Pauline,Pauline1988@company.com,H,5.0,5.0,1.0,5.0,
Ason,Ason1970@yahoo.com,B,1.0,3.0,3.0,3.0,
Donna,Donna1985@company.in,F,5.0,5.0,5.0,5.0,
Tania,Tania1992@company.in,A,2.0,3.0,1.0,3.0,
Bethel,Bethel1984@yahoo.com,F,5.0,5.0,5.0,5.0,
Rohan,Rohan1979@yahoo.com,A,4.0,5.0,5.0,5.0,
Davie,Davie1984@yahoo.com,A,3.0,4.0,4.0,4.0,
Ingrid,Ingrid1981@,B,4.0,3.0,3.0,4.0,
Pam,Pam1975@gmail.com,F,5.0,5.0,5.0,5.0,
Dinah,Dinah1992@,C,3.0,4.0,4.0,3.0,
Kimber,Kimber1992@yahoo.com,C,5.0,5.0,5.0,5.0,
Orley,Orley1996@yahoo.com,C,5.0,4.0,4.0,5.0,
Elza,Elza1996@yahoo.com,D,4.0,5.0,4.0,3.0,
Siena,Siena1987@gmail.com,F,5.0,4.0,4.0,4.0,
Chanie,Chanie1988@yahoo.com,D,4.0,4.0,4.0,4.0,
Chad,Chad1974@gmail.com,B,1.0,3.0,3.0,4.0,
Joanna,Joanna1983@hotmail.com,C,3.0,3.0,3.0,3.0,
Weldon,Weldon1999@company.in,C,1.0,1.0,1.0,1.0,
Kasie,Kasie1997@hotmail.com,G,5.0,5.0,5.0,5.0,
Cleve,Cleve1999@company.com,B,4.0,4.0,3.0,4.0,
Bess,Bess1989@company.com,B,5.0,5.0,5.0,5.0,
Ed,Ed1977@gmail.com,B,5.0,5.0,5.0,5.0,
Wayland,Wayland1993@hotmail.com,E,2.0,1.0,4.0,4.0,
Keanna,Keanna1975@gmail.com,D,5.0,5.0,5.0,5.0,
Wilson,Wilson1970@hotmail.com,B,1.0,,,,
Mel,Mel1987@company.com,B,2.0,4.0,4.0,3.0,"If constraints of the problem were given, then It might be helpful for the candidates. "
Oswaldo,Oswaldo1989@hotmail.com,H,5.0,5.0,5.0,5.0,good understanding of question was there
Randle,Randle1983@yahoo.com,A,4.0,3.0,4.0,3.0,
Jannette,Jannette1991@company.in,C,3.0,5.0,5.0,5.0,
Gus,Gus1993@company.in,H,3.0,5.0,5.0,2.0,Same questions as last assessment
Kisha,Kisha1981@gmail.com,B,4.0,5.0,5.0,4.0,
Hershel,Hershel1985@,C,3.0,4.0,4.0,4.0,
Elvin,Elvin1986@hotmail.com,F,5.0,4.0,5.0,5.0,
Arianna,Arianna1997@company.in,C,5.0,5.0,5.0,5.0,
Leander,Leander1979@yahoo.com,A,4.0,4.0,5.0,3.0,
Warner,Warner1996@hotmail.com,C,4.0,4.0,4.0,4.0,
Vincent,Vincent1981@,F,4.0,4.0,4.0,4.0,
Alvena,Alvena1977@hotmail.com,G,1.0,4.0,1.0,2.0,"Clarity of Questions: No Constraints was mentioned_x005F_x000D_
Usability of Code Editor:  was unable to copy my code from previous question it was unfair as it would have saved a lot of time in this competitive test._x005F_x000D_
Fairness of skill assessment: It was not fair to give 3 questions and only 90 minutes to code."
Jame,Jame1996@company.com,H,4.0,4.0,4.0,4.0,
Renada,Renada1995@gmail.com,F,4.0,1.0,1.0,4.0,
Gwenda,Gwenda1971@company.com,F,3.0,2.0,2.0,,
Noemi,Noemi1988@company.com,E,2.0,5.0,5.0,3.0,
Calista,Calista1988@gmail.com,C,1.0,1.0,1.0,3.0,
Angie,Angie1978@hotmail.com,B,1.0,2.0,2.0,3.0,
Hettie,Hettie1977@company.in,B,2.0,3.0,4.0,5.0,
Solon,Solon1975@company.in,H,3.0,3.0,3.0,4.0,
Enzo,Enzo1986@hotmail.com,G,2.0,2.0,5.0,4.0,
Gerald,Gerald1983@company.in,F,5.0,5.0,5.0,5.0,"Dear JUSPAY and HackerEarth ,_x005F_x000D_
Please help me I have been out of job since past 20 months now . I literally cry for help . Please help , I beg for help . Please help me I am crying on my knees to help find me the job . I beg for help , I am the only bread-earner of my family ,please I beg for help ."
Williard,Williard1977@gmail.com,F,5.0,5.0,5.0,5.0,
Victorine,Victorine1994@hotmail.com,G,1.0,4.0,3.0,2.0,
Janna,Janna1991@,C,3.0,1.0,1.0,1.0,"First, you don't provide default input behavior for node JS projects. which is very frustrating. Node js is not like java where we can write sc.next() or nextLine(). _x005F_x000D_
Second, you don't provide any IntelliSense. _x005F_x000D_
Third, mouse gets disappeared in the middle of the test. please work on your platform."
Belva,Belva1993@gmail.com,A,3.0,2.0,4.0,1.0,
Arron,Arron1975@hotmail.com,F,4.0,4.0,4.0,4.0,
Kennith,Kennith1991@,F,5.0,5.0,5.0,5.0,
Newman,Newman1980@company.in,F,2.0,4.0,4.0,5.0,It would be helpful if constraint of the inputs were provided. Anyways the questions were good.
Mel,Mel1983@gmail.com,C,4.0,1.0,1.0,4.0,"Horrible text editor, fullscreen is useless, scrolling is terrible"
Patricia,Patricia1993@company.in,H,5.0,5.0,5.0,5.0,
Carissa,Carissa1997@,G,5.0,5.0,5.0,5.0,
Larue,Larue1999@gmail.com,F,1.0,1.0,1.0,1.0,Not at all understandable question.
Irvin,Irvin1993@,E,1.0,5.0,3.0,1.0,"no constraints , very poorly written statements"
Kaci,Kaci1992@gmail.com,E,3.0,3.0,3.0,4.0,
Nicolette,Nicolette1977@yahoo.com,C,5.0,5.0,5.0,5.0,
Rohan,Rohan1987@company.in,G,5.0,4.0,2.0,4.0,sometime I wan unable to copy paste my own code.
Lilly,Lilly1998@,C,2.0,3.0,3.0,3.0,
Kaila,Kaila1985@yahoo.com,B,3.0,3.0,3.0,3.0,
Nikia,Nikia1990@yahoo.com,E,5.0,5.0,5.0,5.0,
Madlyn,Madlyn1972@company.com,C,3.0,3.0,3.0,3.0,
Phylis,Phylis1980@gmail.com,B,4.0,4.0,4.0,4.0,it was nice interacting with the question
Mikeal,Mikeal1991@company.in,B,2.0,4.0,4.0,4.0,
Justine,Justine1984@hotmail.com,A,1.0,1.0,4.0,1.0,All the problems were unclear especially 2nd and 3rd one where statements were incomplete LoL. 
Louie,Louie1994@company.com,F,5.0,5.0,5.0,1.0,
Francine,Francine1974@company.com,D,5.0,4.0,4.0,5.0,
Winter,Winter1972@company.com,H,3.0,3.0,3.0,3.0,
Willard,Willard1992@,H,4.0,4.0,4.0,,
Torey,Torey1978@yahoo.com,G,1.0,,,,
Martika,Martika1992@company.in,F,5.0,5.0,5.0,5.0,
Dereck,Dereck1990@company.in,G,5.0,5.0,5.0,5.0,
Raekwon,Raekwon1972@hotmail.com,E,3.0,5.0,4.0,5.0,
Jadyn,Jadyn1989@hotmail.com,C,2.0,1.0,1.0,1.0,
Treasure,Treasure1973@yahoo.com,A,1.0,4.0,4.0,4.0,
Lisa,Lisa1983@yahoo.com,C,5.0,5.0,,5.0,
Harden,Harden1997@company.com,H,2.0,5.0,5.0,5.0,"The last question didnot contain the order in which the result should be displayed or I feel There could be more testcases. _x005F_x000D_
I feel the question is little unclear."
Jeanetta,Jeanetta1971@company.com,C,5.0,5.0,5.0,5.0,
Nealie,Nealie1975@yahoo.com,H,5.0,5.0,5.0,3.0,all question are from only one topic
Angelita,Angelita1974@company.in,G,1.0,1.0,1.0,1.0,
Charolette,Charolette1998@,E,4.0,4.0,4.0,4.0,
Carolyn,Carolyn1998@company.com,G,2.0,3.0,3.0,3.0,
Janel,Janel1973@hotmail.com,H,5.0,5.0,5.0,5.0,
Antony,Antony1996@company.in,H,,,,,"The problems were really shit, without much description!!"
Tyreek,Tyreek1998@company.in,F,1.0,4.0,4.0,2.0,further explanation is required
Etha,Etha1982@yahoo.com,D,3.0,3.0,4.0,4.0,
Moriah,Moriah1970@hotmail.com,G,1.0,2.0,3.0,3.0,
Neal,Neal1987@yahoo.com,D,5.0,5.0,5.0,5.0,
Maymie,Maymie1975@yahoo.com,A,3.0,4.0,4.0,4.0,Question 3 was very unclear. The explanation could have been better and there could have been more sample examples to make it clear.
Howard,Howard1993@company.in,C,4.0,4.0,4.0,4.0,
Amber,Amber1992@yahoo.com,F,4.0,4.0,4.0,4.0,
Wilda,Wilda1979@hotmail.com,C,1.0,4.0,4.0,2.0,
Edyth,Edyth1974@company.com,E,1.0,4.0,4.0,3.0,the test cases were not enough for question understanding
Tenika,Tenika1996@gmail.com,A,2.0,5.0,5.0,,
